"HBCx14_AC1","HBCx14_chemonaive1","HBCx14_AC2","HBCx14_chemonaive2","HBCx14_AC3","HBCx14_AC4","HBCx14_chemonaive3","HBCx14_AC5","Symbol"
2214,4555,2839,3971,4085,3877,5738,4539,"PKD1"
367,867,455,545,607,777,782,885,"MAPK8IP2"
1335,2566,1655,2416,1913,2020,3305,2474,"MED24"
225,359,245,382,375,328,488,342,"RHOBTB2"
514,1596,748,1592,772,893,2043,809,"HEATR5B"
2148,4167,2918,4948,3468,4026,5979,4079,"SEC62"
4407,10929,4967,10200,5790,6097,14109,7226,"RPS20"
11270,27595,13819,32748,16297,19469,39969,18152,"CSDE1"
1384,3894,2018,3468,2341,2888,4748,3033,"UBE3C"
357,1200,468,1309,546,590,1424,632,"REV3L"
0,0,0,0,1,0,0,0,"TENM1"
0,0,0,0,0,0,0,0,"PAX7"
3,15,7,3,5,6,19,7,"MASP2"
2,7,3,3,5,4,3,7,"IYD"
167,429,259,439,282,328,474,319,"FAM76A"
13,28,22,30,26,27,32,53,"TRAF3IP3"
575,1068,601,1138,784,923,1564,966,"POMT2"
1777,4055,2280,4403,2813,3059,5237,3493,"VTA1"
237,778,290,631,308,254,961,378,"MLXIPL"
2951,9184,4482,9286,5667,7144,12110,6680,"BAZ1B"
1037,1737,1482,1802,1726,1835,2336,1876,"RANBP9"
112,139,187,149,238,292,127,308,"ETV7"
273,641,355,694,431,518,889,604,"SPRTN"
1337,2708,1655,2797,2251,2436,3887,2659,"EEF1AKNMT"
374,793,445,796,447,504,1069,582,"DYRK4"
2626,5955,3657,6009,4267,5220,7206,5357,"ZNF207"
1832,4871,2095,4582,2613,2848,6240,3120,"UQCRC1"
339,733,447,879,527,636,1149,609,"STARD3NL"
5643,11818,6663,12862,8139,8971,16378,10083,"CD9"
0,0,2,1,3,1,0,1,"HHATL"
6675,13758,8025,13056,10503,10705,18829,12555,"NCAPD2"
74,29,100,55,158,156,93,143,"IFFO1"
12,20,19,24,24,19,18,23,"GIPR"
45,146,59,166,61,86,167,74,"PHF7"
22,49,31,36,45,50,22,44,"SEMA3G"
1796,4392,2579,4344,2932,3007,5566,3319,"NISCH"
30,67,45,39,70,52,48,63,"STAB1"
1,2,3,3,0,7,0,4,"FUZ"
0,2,0,1,1,1,0,1,"SLC6A13"
92,393,109,384,189,203,387,158,"IDS"
5,14,7,8,8,11,6,9,"PRSS3"
287,522,326,694,445,517,804,537,"ZNF200"
29,46,38,37,46,52,25,37,"CD4"
136,385,182,335,163,189,340,179,"LRRC23"
29,35,69,19,38,63,36,68,"BTK"
194,512,273,459,206,277,596,303,"HFE"
1559,3329,1958,3573,2203,2420,4510,2572,"SCMH1"
240,148,380,381,571,613,253,544,"FYN"
691,2009,1090,2338,1323,1724,2442,1679,"HIVEP2"
0,0,6,0,4,2,2,6,"FMO1"
1335,2805,1873,3028,2221,2444,3986,2706,"ELOA"
1349,2762,1687,2831,2225,2348,3711,2548,"LYPLA2"
190,633,240,658,302,316,752,341,"CLCN6"
1077,1058,1238,1764,1710,1764,2311,1803,"MRC2"
0,0,0,0,0,0,0,0,"NME1-NME2"
11,35,20,18,11,12,12,17,"SLC6A7"
1705,2981,1871,2597,2178,2651,2844,2509,"TSPAN9"
32,158,45,234,82,106,196,69,"BTBD7"
641,1192,786,1294,928,971,1581,1158,"APBA3"
194,534,253,463,280,325,613,346,"MKS1"
669,1513,802,1604,974,1156,1727,1157,"ABHD5"
1,0,1,2,4,0,2,1,"ANOS1"
3707,6123,4674,5697,5090,6093,8902,6455,"AKAP8L"
237,617,369,703,430,484,778,434,"MBTD1"
218,538,303,606,374,428,911,472,"UTP18"
536,1650,777,1575,928,1004,1889,1226,"RNF216"
1180,2755,1429,2674,1560,1745,3078,1884,"TTC19"
7077,15938,8428,16348,9467,11479,22068,12837,"PTBP1"
55,73,80,78,130,97,192,110,"DPF1"
2943,6473,3278,5910,3937,4416,6560,4581,"SYT7"
481,1154,600,1091,747,899,1531,990,"LARS2"
779,2389,1090,2460,1254,1516,3036,1509,"PIK3C2A"
273,558,382,584,528,594,564,741,"PLAUR"
1257,3181,1637,3043,2314,2712,4353,2735,"ANLN"
3980,7720,4876,7499,5956,6707,9496,7524,"WIZ"
1260,3338,1930,3353,2082,2347,4320,2249,"RABGAP1"
3,1,9,1,5,5,1,5,"DCN"
157,397,183,402,185,193,540,241,"QPCTL"
976,1969,1276,2088,1503,1637,2885,1781,"PPP5C"
206,532,281,495,331,370,606,411,"CEP68"
803,2251,1207,2442,1341,1558,2708,1478,"MAP4K3"
3,0,9,1,9,9,0,19,"ZBTB32"
0,0,0,0,0,0,0,0,"TYROBP"
881,1453,1101,1499,1157,1227,1990,1453,"TMEM159"
197,586,217,590,294,330,614,341,"GABRA3"
338,639,490,716,589,630,845,653,"BRCA1"
584,1339,714,1218,752,966,1497,954,"ERCC1"
0,0,0,0,1,0,0,2,"CD22"
252,818,279,427,287,323,499,334,"SEMA3B"
204,470,238,453,264,352,562,318,"MBTPS2"
297,470,348,563,419,487,683,543,"PRICKLE3"
743,1011,1748,192,1293,3645,121,2610,"LTF"
1403,4040,1801,3990,2312,2516,4764,2725,"EXTL3"
1,0,0,0,0,0,0,0,"NR1H4"
1918,5302,2340,6186,3232,3628,7636,3713,"ELOVL5"
31,45,37,44,42,57,23,62,"ALOX5"
2,3,2,2,5,4,1,8,"KDM5D"
807,1532,1026,1622,1166,1176,1838,1220,"CALCOCO1"
123,320,159,308,153,192,425,167,"UBR7"
900,2553,1208,2509,1434,1568,3029,1600,"MAP4K5"
87,91,79,159,152,138,158,186,"EHD3"
881,1736,1214,1817,1403,1630,2465,1790,"PSMC4"
385,681,456,661,557,531,785,656,"MAN2B2"
0,0,0,0,1,2,0,0,"SLC7A14"
52,53,60,61,93,105,37,94,"CLDN11"
3094,5967,3703,6261,4150,4703,8373,5476,"SLC25A39"
853,1344,1027,1681,1153,1519,1598,1456,"MVP"
857,1728,1097,1638,1391,1606,2042,1611,"NUB1"
492,1474,727,1891,1002,999,1895,1070,"PGM3"
40,103,47,121,49,48,119,55,"RWDD2A"
924,2060,1338,2252,1550,1688,2662,1660,"CLK1"
266,663,308,695,379,452,778,410,"POLR3B"
439,912,557,1089,683,731,1212,858,"ANGEL1"
466,984,643,1137,798,900,1337,934,"RNF14"
852,2283,938,1902,959,1070,2052,1207,"DNASE1L1"
1843,2979,2321,3123,2936,3218,4509,3621,"DDX11"
788,1685,957,1792,1168,1214,2375,1305,"HEBP1"
1465,10989,2005,8702,2824,2676,6152,3168,"GPRC5A"
443,1281,485,1545,912,835,1620,823,"MAMLD1"
151,323,176,344,216,223,315,253,"CD6"
1314,1835,1511,1815,2004,2120,2406,2515,"TACC3"
375,1160,442,1274,523,681,1310,565,"UFL1"
75,119,80,116,117,117,120,150,"POLA2"
336,535,389,593,502,497,705,611,"ZC3H3"
4989,11174,5806,11095,6457,7184,13848,7534,"CAPN1"
26,35,14,51,30,37,38,21,"ACP3"
1664,3508,2281,3560,2613,2480,4646,3044,"MDH1"
980,2123,1149,2219,1304,1445,2854,1553,"SLC30A9"
535,1442,699,1140,735,855,1443,819,"MTMR11"
165,458,208,343,243,251,431,236,"COX15"
1482,3531,1852,3779,2561,3009,4858,2914,"CCDC88C"
476,899,568,969,672,803,1264,876,"YAF2"
156,67,301,186,387,419,255,383,"ZMYND11"
29,35,37,18,40,41,38,45,"WAS"
0,0,3,1,1,1,1,0,"DPEP1"
1091,2148,1315,2142,1593,1857,2796,2052,"BID"
33,67,56,109,47,66,115,37,"MATR3"
3,20,9,17,16,17,19,10,"NPC1L1"
290,556,370,541,477,520,654,517,"XYLT2"
4,7,7,12,0,1,2,1,"RGPD5"
1,1,2,1,3,3,1,1,"STMN4"
904,2246,1192,2241,1465,1618,2768,1683,"NUDCD3"
0,1,2,0,1,0,0,4,"ISL1"
1075,3121,1361,2623,1892,1952,3668,2010,"CHDH"
130,145,176,228,165,222,298,217,"IL20RA"
0,0,0,0,1,0,0,0,"CLCA1"
1,0,0,0,0,2,0,0,"CLCA4"
290,917,377,868,424,478,1103,480,"GLT8D1"
3169,7274,4214,8049,5666,6665,8883,6342,"ATP2C1"
28,9,40,11,59,70,16,35,"IGF1"
45,56,67,37,94,88,258,108,"SLC38A5"
1249,3214,1614,3641,1930,2231,4575,2313,"RALBP1"
611,1758,820,1917,874,1163,2057,1090,"RUFY3"
0,1,5,1,2,1,0,2,"CNTN1"
5,6,1,7,1,5,7,3,"SLC11A1"
3628,9599,5203,10034,6867,7841,11342,8729,"WWTR1"
776,2070,1068,2475,1333,1546,2901,1551,"AGPS"
0,2,3,1,1,2,1,2,"ZNF806"
400,837,460,815,564,541,972,697,"CXorf56"
51,7,290,7,534,88,76,397,"ATP1A2"
364,854,417,1012,532,717,1264,742,"TTC27"
11,25,23,26,26,24,33,29,"ZNF582"
0,1,2,0,0,0,0,0,"VSIG2"
915,1677,1097,1666,1616,1629,1889,1665,"PHLDB1"
357,728,516,651,639,743,778,841,"MARCO"
20,20,28,12,50,165,28,179,"CYP24A1"
310,780,453,806,463,619,933,570,"PRDM11"
3,1,17,5,7,3,1,11,"SYT13"
0,0,1,0,7,2,0,4,"SNAI2"
18,6,36,0,25,56,7,40,"CD74"
5,3,11,5,20,32,6,30,"HGF"
898,2005,1231,2140,1273,1476,2636,1549,"ZRANB1"
1938,2506,2457,2698,2900,3119,3459,3668,"NCDN"
114,231,129,225,167,141,384,191,"ADGRA2"
0,1,1,0,3,2,2,0,"CCT8L1P"
645,1438,753,1632,988,1114,2031,1210,"ZFP64"
197,374,231,416,201,310,557,375,"MNAT1"
306,816,493,1095,589,648,1106,695,"SAMD4A"
884,2397,1090,2636,1638,1734,3033,2079,"RUNX3"
696,1907,842,1717,993,1187,2121,1152,"MRE11"
759,1519,853,1357,957,908,1763,1014,"PLEKHB1"
394,804,488,829,645,1119,889,1207,"SERPINB1"
0,0,0,1,0,0,1,1,"CYP3A43"
11,18,6,15,14,19,17,17,"SLC7A9"
508,1474,745,1622,879,1010,1898,959,"SPAST"
0,1,2,0,1,0,0,1,"NRXN3"
970,1826,1152,1861,1267,1326,2395,1391,"OSBPL5"
