"HBCx14_Carboplatin1","HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","HBCx14_chemonaive3","Symbol"
3558,4555,3971,2856,4915,3925,4106,5738,"PKD1"
602,867,545,542,945,614,619,782,"MAPK8IP2"
1884,2566,2416,1715,2452,2389,2419,3305,"MED24"
314,359,382,252,469,364,359,488,"RHOBTB2"
716,1596,1592,628,881,768,852,2043,"HEATR5B"
3007,4167,4948,2709,3806,3571,3567,5979,"SEC62"
5047,10929,10200,5594,7147,6860,8730,14109,"RPS20"
14641,27595,32748,14111,17814,20473,18551,39969,"CSDE1"
2241,3894,3468,1807,3011,2675,2148,4748,"UBE3C"
483,1200,1309,366,588,571,477,1424,"REV3L"
0,0,0,1,0,0,1,0,"TENM1"
0,0,0,0,2,0,1,0,"PAX7"
2,15,3,5,3,3,2,19,"MASP2"
3,7,3,5,2,4,1,3,"IYD"
250,429,439,208,320,264,328,474,"FAM76A"
23,28,30,42,40,31,32,32,"TRAF3IP3"
939,1068,1138,551,1139,987,948,1564,"POMT2"
2556,4055,4403,2356,3460,3259,2981,5237,"VTA1"
250,778,631,221,386,321,314,961,"MLXIPL"
5316,9184,9286,3905,6693,5811,4718,12110,"BAZ1B"
1412,1737,1802,1726,1772,1979,1797,2336,"RANBP9"
246,139,149,188,293,240,191,127,"ETV7"
392,641,694,384,588,549,465,889,"SPRTN"
2106,2708,2797,1488,2960,2337,2321,3887,"EEF1AKNMT"
424,793,796,438,496,595,590,1069,"DYRK4"
3874,5955,6009,3880,4970,4952,4855,7206,"ZNF207"
2333,4871,4582,2330,3340,3027,3184,6240,"UQCRC1"
508,733,879,442,729,598,605,1149,"STARD3NL"
7660,11818,12862,5937,10312,8505,8962,16378,"CD9"
1,0,1,3,2,0,3,0,"HHATL"
9775,13758,13056,8160,13457,12661,12408,18829,"NCAPD2"
99,29,55,99,116,132,154,93,"IFFO1"
34,20,24,14,28,16,12,18,"GIPR"
59,146,166,55,70,95,70,167,"PHF7"
40,49,36,38,42,60,63,22,"SEMA3G"
2741,4392,4344,2341,3505,3324,3414,5566,"NISCH"
39,67,39,51,44,45,62,48,"STAB1"
2,2,3,2,0,3,3,0,"FUZ"
1,2,1,0,0,0,2,0,"SLC6A13"
181,393,384,84,192,208,140,387,"IDS"
10,14,8,4,4,13,11,6,"PRSS3"
423,522,694,373,552,457,437,804,"ZNF200"
38,46,37,31,41,36,38,25,"CD4"
154,385,335,130,202,201,173,340,"LRRC23"
43,35,19,53,57,70,64,36,"BTK"
257,512,459,183,286,293,241,596,"HFE"
2045,3329,3573,1830,2761,2642,2636,4510,"SCMH1"
385,148,381,403,479,564,527,253,"FYN"
1213,2009,2338,1016,1674,1534,1132,2442,"HIVEP2"
0,0,0,5,0,2,3,2,"FMO1"
1977,2805,3028,1886,2788,2432,2369,3986,"ELOA"
1866,2762,2831,1830,2626,2481,2481,3711,"LYPLA2"
235,633,658,186,284,275,274,752,"CLCN6"
1492,1058,1764,1303,1704,1869,1864,2311,"MRC2"
0,0,0,0,0,0,0,0,"NME1-NME2"
15,35,18,13,13,14,24,12,"SLC6A7"
2140,2981,2597,1784,2699,2721,2716,2844,"TSPAN9"
48,158,234,40,63,75,68,196,"BTBD7"
939,1192,1294,759,1298,1047,1049,1581,"APBA3"
276,534,463,227,329,339,315,613,"MKS1"
984,1513,1604,793,1327,1073,1112,1727,"ABHD5"
2,0,2,3,2,0,0,2,"ANOS1"
4649,6123,5697,4029,6093,5651,6074,8902,"AKAP8L"
366,617,703,326,423,430,411,778,"MBTD1"
337,538,606,317,414,413,442,911,"UTP18"
966,1650,1575,777,1267,1048,986,1889,"RNF216"
1473,2755,2674,1373,1812,1879,1886,3078,"TTC19"
