"HBCx14_AC1","HBCx14_AC2","HBCx14_AC3","HBCx14_AC4","HBCx14_AC5","Symbol"
2214,2839,4085,3877,4539,"PKD1"
367,455,607,777,885,"MAPK8IP2"
1335,1655,1913,2020,2474,"MED24"
225,245,375,328,342,"RHOBTB2"
514,748,772,893,809,"HEATR5B"
2148,2918,3468,4026,4079,"SEC62"
4407,4967,5790,6097,7226,"RPS20"
11270,13819,16297,19469,18152,"CSDE1"
1384,2018,2341,2888,3033,"UBE3C"
357,468,546,590,632,"REV3L"
0,0,1,0,0,"TENM1"
0,0,0,0,0,"PAX7"
3,7,5,6,7,"MASP2"
2,3,5,4,7,"IYD"
167,259,282,328,319,"FAM76A"
13,22,26,27,53,"TRAF3IP3"
575,601,784,923,966,"POMT2"
1777,2280,2813,3059,3493,"VTA1"
237,290,308,254,378,"MLXIPL"
2951,4482,5667,7144,6680,"BAZ1B"
1037,1482,1726,1835,1876,"RANBP9"
112,187,238,292,308,"ETV7"
273,355,431,518,604,"SPRTN"
1337,1655,2251,2436,2659,"EEF1AKNMT"
374,445,447,504,582,"DYRK4"
2626,3657,4267,5220,5357,"ZNF207"
1832,2095,2613,2848,3120,"UQCRC1"
339,447,527,636,609,"STARD3NL"
5643,6663,8139,8971,10083,"CD9"
0,2,3,1,1,"HHATL"
6675,8025,10503,10705,12555,"NCAPD2"
74,100,158,156,143,"IFFO1"
12,19,24,19,23,"GIPR"
45,59,61,86,74,"PHF7"
22,31,45,50,44,"SEMA3G"
1796,2579,2932,3007,3319,"NISCH"
30,45,70,52,63,"STAB1"
1,3,0,7,4,"FUZ"
0,0,1,1,1,"SLC6A13"
92,109,189,203,158,"IDS"
5,7,8,11,9,"PRSS3"
287,326,445,517,537,"ZNF200"
29,38,46,52,37,"CD4"
136,182,163,189,179,"LRRC23"
29,69,38,63,68,"BTK"
194,273,206,277,303,"HFE"
1559,1958,2203,2420,2572,"SCMH1"
240,380,571,613,544,"FYN"
691,1090,1323,1724,1679,"HIVEP2"
0,6,4,2,6,"FMO1"
1335,1873,2221,2444,2706,"ELOA"
1349,1687,2225,2348,2548,"LYPLA2"
190,240,302,316,341,"CLCN6"
1077,1238,1710,1764,1803,"MRC2"
0,0,0,0,0,"NME1-NME2"
11,20,11,12,17,"SLC6A7"
1705,1871,2178,2651,2509,"TSPAN9"
32,45,82,106,69,"BTBD7"
641,786,928,971,1158,"APBA3"
194,253,280,325,346,"MKS1"
669,802,974,1156,1157,"ABHD5"
1,1,4,0,1,"ANOS1"
3707,4674,5090,6093,6455,"AKAP8L"
237,369,430,484,434,"MBTD1"
218,303,374,428,472,"UTP18"
536,777,928,1004,1226,"RNF216"
1180,1429,1560,1745,1884,"TTC19"
7077,8428,9467,11479,12837,"PTBP1"
55,80,130,97,110,"DPF1"
2943,3278,3937,4416,4581,"SYT7"
481,600,747,899,990,"LARS2"
779,1090,1254,1516,1509,"PIK3C2A"
273,382,528,594,741,"PLAUR"
1257,1637,2314,2712,2735,"ANLN"
3980,4876,5956,6707,7524,"WIZ"
1260,1930,2082,2347,2249,"RABGAP1"
3,9,5,5,5,"DCN"
157,183,185,193,241,"QPCTL"
976,1276,1503,1637,1781,"PPP5C"
206,281,331,370,411,"CEP68"
803,1207,1341,1558,1478,"MAP4K3"
3,9,9,9,19,"ZBTB32"
0,0,0,0,0,"TYROBP"
881,1101,1157,1227,1453,"TMEM159"
197,217,294,330,341,"GABRA3"
338,490,589,630,653,"BRCA1"
584,714,752,966,954,"ERCC1"
0,0,1,0,2,"CD22"
252,279,287,323,334,"SEMA3B"
204,238,264,352,318,"MBTPS2"
297,348,419,487,543,"PRICKLE3"
743,1748,1293,3645,2610,"LTF"
1403,1801,2312,2516,2725,"EXTL3"
1,0,0,0,0,"NR1H4"
1918,2340,3232,3628,3713,"ELOVL5"
31,37,42,57,62,"ALOX5"
2,2,5,4,8,"KDM5D"
807,1026,1166,1176,1220,"CALCOCO1"
123,159,153,192,167,"UBR7"
900,1208,1434,1568,1600,"MAP4K5"
87,79,152,138,186,"EHD3"
881,1214,1403,1630,1790,"PSMC4"
385,456,557,531,656,"MAN2B2"
0,0,1,2,0,"SLC7A14"
52,60,93,105,94,"CLDN11"
3094,3703,4150,4703,5476,"SLC25A39"
853,1027,1153,1519,1456,"MVP"
857,1097,1391,1606,1611,"NUB1"
492,727,1002,999,1070,"PGM3"
40,47,49,48,55,"RWDD2A"
924,1338,1550,1688,1660,"CLK1"
266,308,379,452,410,"POLR3B"
439,557,683,731,858,"ANGEL1"
466,643,798,900,934,"RNF14"
852,938,959,1070,1207,"DNASE1L1"
1843,2321,2936,3218,3621,"DDX11"
788,957,1168,1214,1305,"HEBP1"
1465,2005,2824,2676,3168,"GPRC5A"
443,485,912,835,823,"MAMLD1"
151,176,216,223,253,"CD6"
1314,1511,2004,2120,2515,"TACC3"
