"HBCx14_Carboplatin1","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","Symbol"
0,0,0,0,0,"AL592431.2"
0,0,0,0,0,"RPL7P43"
0,0,0,0,0,"AC117386.1"
0,0,0,0,0,"RPL23AP70"
0,0,0,0,0,"AL035454.1"
7,5,7,7,10,"AC004951.3"
401,297,585,527,506,"NSUN6"
0,0,0,0,0,"AC008799.2"
5,8,2,6,4,"RPL5P1"
0,0,0,0,0,"RN7SL110P"
0,0,0,0,0,"RPL17P40"
0,0,0,0,0,"AC125388.1"
0,0,0,0,0,"AC093019.2"
0,0,0,0,0,"RN7SL813P"
5,8,3,6,3,"RPL22P2"
0,0,0,0,0,"RN7SL259P"
0,0,0,0,0,"AL161785.3"
0,0,3,0,0,"RPL17P44"
0,1,1,0,0,"CYP51A1P1"
0,0,0,0,0,"AP001324.2"
0,0,0,0,0,"LINC01994"
0,0,0,0,0,"PRICKLE2-AS2"
0,0,0,0,0,"AC011005.2"
0,0,0,0,0,"AC109925.1"
0,0,0,0,0,"CEACAMP10"
0,0,0,0,0,"AC022730.1"
5,5,2,2,3,"HLA-DOB"
0,0,0,0,0,"AC092040.2"
0,1,0,0,0,"RPL29P14"
0,0,0,0,0,"AC008280.1"
0,0,0,0,0,"UGT1A9"
0,0,1,0,0,"HMGN1P8"
0,0,0,0,0,"KRTAP10-5"
182,158,233,221,217,"YAE1"
0,0,0,0,0,"OR14A2"
0,0,0,1,0,"RPL22P19"
0,0,0,0,0,"AC012100.1"
0,0,0,0,0,"LINC02032"
0,0,0,0,0,"BET1P1"
8,3,12,5,6,"LINC00881"
0,0,0,0,0,"PAICSP6"
0,0,0,0,0,"RPL32P9"
0,0,0,0,0,"RN7SL728P"
0,0,0,0,0,"RPL7P41"
0,0,0,0,0,"ZNF722P"
0,0,0,0,0,"LINC02066"
0,0,0,0,0,"RN7SL720P"
17,14,12,22,15,"ARHGAP31-AS1"
0,0,0,0,0,"RN7SL582P"
0,2,5,3,3,"AC104763.1"
0,0,0,0,0,"ADAMTS9-AS1"
0,0,0,0,1,"RN7SL160P"
0,0,0,0,0,"RN7SL617P"
0,0,0,0,0,"LINC00877"
0,1,0,0,0,"AC128685.1"
0,0,0,0,0,"FO393419.2"
50,37,58,57,61,"AP001992.1"
0,0,0,0,0,"RN7SL70P"
0,0,0,0,0,"RN7SL570P"
0,0,0,0,0,"RN7SL494P"
0,0,0,0,0,"AC010301.1"
1,0,0,4,1,"AL645608.4"
0,0,0,0,0,"AC009022.2"
0,0,1,2,0,"AC005410.1"
0,0,0,0,0,"TDGF1"
0,0,0,0,0,"AC008379.1"
1,1,1,3,1,"RN7SL165P"
0,0,0,0,0,"RN7SL191P"
0,0,0,0,0,"ZNF736P7Y"
0,0,0,0,0,"ZIC4-AS1"
0,0,0,0,0,"HMGN2P26"
1,1,0,0,1,"AC022730.2"
0,0,0,0,0,"AC245047.8"
0,0,1,0,0,"IQCJ-SCHIP1-AS1"
0,0,0,0,0,"LINC02024"
0,0,0,0,0,"SNAPC5P1"
3,1,2,3,1,"RN7SL809P"
0,1,0,0,0,"AC063944.2"
0,0,1,0,0,"AC078785.2"
0,0,0,0,0,"AC078788.1"
0,0,0,0,0,"MTND4LP17"
0,0,0,0,0,"RN7SL39P"
0,0,0,0,0,"C3orf85"
0,0,0,0,0,"NMTRS-TGA3-1"
0,0,0,0,0,"RN7SL836P"
0,0,0,0,0,"RN7SL553P"
0,0,0,0,0,"RPL12P31"
0,0,0,0,0,"RN7SL443P"
0,0,0,0,0,"RN7SL801P"
0,0,0,0,0,"AC068308.1"
4,5,7,3,4,"KRTAP5-8"
0,0,0,0,0,"KRTAP4-16"
0,0,0,0,0,"RN7SL629P"
0,0,0,0,0,"IGKV1D-16"
0,0,0,0,0,"RN7SL302P"
0,0,0,0,0,"RN7SL727P"
0,3,1,1,5,"RPL17P20"
0,0,0,0,0,"AC090525.1"
3,1,2,2,1,"AL136126.1"
0,0,0,0,0,"AC124945.1"
1519,1613,2072,2015,1885,"CRCP"
0,0,0,0,0,"RPL17P19"
7,8,9,16,16,"AC093620.1"
5,5,5,5,5,"ENPP7P4"
0,0,0,0,0,"AC106712.2"
1,2,2,0,0,"AC010683.1"
15,31,22,34,55,"RPL34P33"
0,0,0,0,0,"RPL29P25"
26,14,30,20,23,"LINC02614"
0,0,0,0,0,"RN7SL791P"
1,0,0,0,0,"PPATP1"
0,0,0,0,0,"IGKV2-24"
0,1,0,0,0,"ZBTB20-AS2"
0,0,0,0,0,"ACTG1P13"
0,0,0,0,0,"AC104472.2"
24,21,26,28,39,"WWTR1-AS1"
58,53,73,58,71,"SUCLG2-AS1"
0,0,0,0,0,"AL133481.3"
0,1,4,0,2,"WDR82P2"
1,0,0,5,0,"SETP6"
65,55,98,77,56,"CDRT1"
0,0,0,0,0,"AC004930.1"
0,0,0,0,0,"AL603962.1"
0,0,0,0,0,"LINC02070"
1,0,0,0,0,"RN7SL385P"
0,0,0,0,0,"RPL35AP33"
0,0,0,0,0,"LINC01487"
78,44,95,82,86,"RPL36A"
0,0,0,0,0,"RPL21P47"
0,0,0,0,0,"AC004690.2"
0,0,0,0,0,"SNRPCP11"
0,0,0,0,0,"RN7SL466P"
0,0,0,0,0,"PMS2P11"
0,0,0,0,0,"IGKV3-11"
1,0,2,0,0,"AC007688.2"
0,0,0,0,0,"PPP1R2P4"
0,0,1,0,0,"AL049874.1"
0,0,0,0,0,"OR5G3"
5,6,4,5,3,"AC092849.1"
5,2,2,5,4,"AC069528.1"
0,0,0,0,0,"SYNPR-AS1"
26,33,41,37,60,"PDXP"
25,15,18,23,28,"SLC25A24P1"
3,4,4,3,5,"RPL36AP43"
0,0,0,0,0,"RPL7AP23"
4,4,4,4,3,"LINC01192"
0,0,0,0,0,"RPP21"
0,0,0,0,0,"LINC01997"
0,0,0,0,0,"AC023245.1"
0,0,0,0,1,"HNF1A-AS1"
0,0,0,0,0,"RN7SL234P"
0,0,0,4,0,"RN7SL205P"
0,0,0,0,0,"RN7SL344P"
0,0,0,0,0,"LINC00903"
168,186,258,204,259,"CD302"
0,1,0,0,0,"AC022215.1"
0,0,0,0,0,"EGFL8"
0,0,0,0,0,"RN7SL515P"
0,0,0,0,1,"AC064852.1"
0,0,1,0,0,"AC104619.1"
1,0,0,3,0,"RN7SL441P"
1,0,0,0,0,"KRT8P13"
0,0,0,0,0,"MCRIP2P1"
0,0,0,0,0,"RN7SL505P"
0,0,0,0,1,"RPL21P103"
8,9,3,8,8,"EEF1A1P25"
0,0,0,0,0,"RPL37P6"
0,0,0,0,0,"AC022137.1"
0,0,0,0,0,"TDGF1P6"
13,21,16,21,21,"AC092903.1"
31,24,28,18,29,"AC092666.1"
0,0,0,0,0,"RPS27P22"
0,0,0,0,0,"AC005996.1"
0,0,0,0,0,"PLSCR5-AS1"
0,0,0,0,0,"RPL7P19"
0,0,0,0,0,"RN7SL182P"
0,0,0,0,0,"AC100832.1"
0,0,0,0,0,"RPL39P38"
1041,964,1639,1341,1470,"ATP5MF"
0,0,1,0,1,"LINC00635"
42,30,49,56,39,"PTPRG-AS1"
0,0,0,0,0,"AC108734.2"
0,0,0,0,0,"AL160408.4"
0,0,0,0,0,"SSX2"
4,4,7,9,2,"HSPA8P9"
0,0,0,0,0,"MECOM-AS1"
145,84,137,132,93,"ARHGAP8"
0,0,0,0,0,"RN7SL586P"
33,11,38,30,31,"AC244197.3"
0,0,0,0,0,"AC093010.1"
0,0,0,0,0,"AC018638.3"
0,0,0,0,2,"AL355032.1"
0,0,0,0,0,"AL132838.2"
0,0,0,0,0,"AL391645.1"
81,86,72,72,92,"PSMC1P1"
1,0,0,0,0,"RPS15AP24"
4,5,9,8,14,"AC098820.4"
0,0,0,0,0,"RN7SL632P"
0,0,2,0,0,"AC141424.1"
0,0,0,0,0,"AC112771.1"
0,1,3,3,2,"CA15P1"
0,0,0,0,0,"RN7SL767P"
4,4,9,2,2,"AGGF1P3"
0,0,2,0,0,"CBX5P1"
1,0,0,0,0,"AC134050.1"
0,0,0,0,0,"AC079804.1"
0,0,0,0,0,"RN7SL369P"
0,0,2,1,2,"LINC02029"
0,0,0,0,0,"AC092910.2"
14,15,8,7,6,"ACTG1P20"
7,8,17,19,7,"GUSBP2"
0,0,0,0,0,"RN7SL41P"
0,0,0,0,0,"RN7SL58P"
1032,1012,1366,1342,1509,"ARPC4"
128,188,141,181,218,"AC018475.1"
1,0,2,0,1,"ZBTB20-AS1"
0,0,0,0,0,"RPL7P5"
2,1,2,0,1,"CORT"
0,0,0,0,0,"IGKV2D-24"
0,0,0,0,0,"RN7SL338P"
0,0,0,0,0,"PAQR9-AS1"
0,0,0,0,0,"ATP5F1AP7"
0,0,0,0,0,"PRICKLE2-AS1"
0,0,0,0,0,"AC011005.3"
0,0,0,0,0,"AC060234.3"
0,2,1,0,0,"RPL23AP8"
0,0,0,0,0,"RN7SL482P"
0,0,0,0,0,"RN7SL484P"
1,0,0,1,2,"RPL17P37"
0,0,0,0,0,"AC021074.2"
0,0,0,0,0,"AC099542.1"
0,0,0,0,0,"KRTAP9-4"
0,0,0,0,1,"AC092468.1"
0,0,0,0,0,"AC022121.2"
0,0,0,0,0,"KRTAP5-4"
0,0,0,0,0,"AL627309.4"
0,0,0,0,0,"RN7SL340P"
0,0,0,0,0,"AC245096.1"
2,0,1,2,2,"AC114728.1"
0,0,0,0,0,"RN7SL618P"
0,0,0,0,0,"GOLGA2P6"
1,0,1,1,0,"RARRES2P1"
0,0,0,0,0,"RN7SL18P"
13,12,14,10,8,"UBQLN4P1"
0,1,0,0,0,"RN7SL316P"
51,31,53,33,48,"AC069499.2"
1,0,0,4,0,"UGT1A1"
0,0,0,0,0,"LINC01323"
0,0,0,0,0,"AC092757.1"
0,0,0,0,0,"RPS23P6"
0,3,0,0,0,"INMT"
0,0,0,0,0,"CADM2-AS2"
0,0,0,1,0,"AC099340.1"
0,0,0,0,0,"RN7SL253P"
2,0,0,0,0,"RPL19P18"
0,1,0,0,0,"UBA52P7"
0,0,0,0,0,"TRBV11-2"
0,0,0,1,0,"PPP1R2P6"
0,0,0,0,0,"RN7SL418P"
8,9,17,5,9,"AL031733.2"
0,0,0,0,0,"AC104445.1"
0,0,0,0,0,"RPL19P11"
0,0,0,0,0,"LINC01327"
0,0,1,0,0,"AC117394.1"
0,0,0,1,0,"RPS27P12"
5,5,8,3,6,"AC091564.1"
1,1,0,2,3,"AC018450.1"
2,0,2,0,3,"RPL31P49"
2,3,8,4,0,"ADAMTS9-AS2"
642,650,954,857,868,"ARPC1A"
0,0,0,0,0,"AL035460.1"
0,0,0,0,0,"RN7SL704P"
0,0,0,0,0,"GM2AP1"
0,0,0,0,0,"LINC02053"
5,9,10,5,17,"TMEFF1"
0,1,4,0,2,"RN7SL265P"
0,1,0,0,0,"VWFP1"
2,0,1,0,1,"AL158847.1"
0,2,1,1,4,"SUMO1P1"
0,0,0,0,0,"AC083795.1"
0,0,0,0,0,"AC074276.1"
0,0,0,0,0,"AP001062.3"
2,2,2,1,1,"FABP5P3"
0,0,0,0,0,"ZNF90P1"
0,0,0,0,0,"AC010469.2"
4,3,9,2,6,"RPL7AP30"
0,0,0,0,0,"XACT"
0,0,0,0,0,"AC079953.1"
0,0,0,0,0,"RN7SL788P"
1,0,0,0,3,"AC104212.3"
0,0,0,1,0,"RPSAP52"
0,0,0,0,0,"AC063938.1"
0,0,0,0,0,"IGKV1-9"
0,0,0,0,0,"RN7SL83P"
0,0,0,0,0,"RN7SL714P"
34,25,58,41,30,"AC002467.1"
0,0,3,0,1,"RPS26P45"
0,0,0,0,0,"LINC01324"
22,13,32,28,18,"LINC00893"
13,19,27,24,19,"AC104411.2"
0,0,0,0,1,"AC092620.1"
0,0,0,0,0,"AC117482.1"
0,0,0,0,0,"AC092185.1"
5,1,3,1,3,"AP002812.1"
0,0,0,0,0,"RN7SL390P"
0,0,0,0,0,"MTND4P16"
0,0,0,0,0,"COX6B1P2"
0,0,0,0,0,"RN7SL504P"
0,0,0,0,0,"ENO1P4"
0,0,0,0,0,"RN7SL817P"
0,0,0,0,0,"AC092958.2"
0,2,0,2,0,"SPRR2A"
0,0,0,0,0,"AC126121.1"
0,0,0,0,0,"RN7SL319P"
0,0,0,0,0,"RPS15AP34"
0,0,0,0,0,"AC022133.1"
0,0,0,0,0,"HMGN2P13"
0,0,0,0,0,"AC107015.1"
0,0,0,0,0,"AC123768.1"
0,0,1,0,0,"RN7SL170P"
0,0,0,0,0,"RPL7P42"
0,0,0,0,0,"AC006517.4"
0,3,0,0,1,"RPL21P54"
0,0,0,0,0,"CECR3"
0,0,0,0,0,"RN7SL149P"
478,432,621,609,701,"ATP5PO"
0,0,1,0,23,"AP000529.1"
298,260,421,370,406,"PLEKHO2"
0,0,0,0,0,"AC092451.1"
115,76,134,126,115,"C8orf58"
0,0,0,0,0,"AC097484.1"
0,0,0,0,0,"ANOS2P"
40,22,27,30,21,"AL627309.5"
0,0,0,0,0,"GAPDHP50"
0,0,0,0,0,"RN7SL401P"
3,0,0,0,0,"RN7SL434P"
0,0,0,0,0,"RN7SL363P"
0,0,0,0,0,"AC008620.1"
0,0,0,0,0,"TOMM22P6"
0,0,0,1,1,"AC095041.1"
692,548,1058,839,791,"PISD"
0,0,0,0,0,"KLF3P2"
0,0,0,0,0,"AC245088.2"
0,0,0,0,0,"AC124893.1"
0,0,0,0,0,"AC114401.1"
1,0,0,0,1,"AC112496.1"
0,0,0,0,0,"RPSAP37"
13,1,8,12,6,"AC079944.2"
0,0,0,0,0,"RPL13P4"
0,0,0,0,0,"RPL9P6"
0,0,0,0,0,"TPT1P3"
0,0,0,0,0,"NDUFS6P1"
0,0,0,0,0,"RPS20P4"
0,0,0,0,0,"TRBVB"
0,0,0,0,0,"AC078788.2"
0,0,1,0,0,"RPS29P21"
0,0,0,0,0,"AC084398.1"
0,0,0,0,0,"AC000372.1"
0,1,0,3,0,"RPL14P3"
0,0,0,0,0,"MTCO1P55"
0,0,0,2,0,"AC108751.3"
2,3,0,0,1,"AC092324.2"
0,0,1,2,0,"DENND6A-DT"
0,0,0,0,0,"HOGA1"
0,0,0,0,0,"RN7SL517P"
0,0,0,0,0,"RPL32P26"
0,0,0,0,0,"RPS20P20"
0,0,0,0,0,"RN7SL188P"
45,30,48,58,54,"PWP2"
0,0,0,0,0,"AC068298.1"
0,0,0,0,0,"HNRNPA1P24"
0,0,0,0,0,"RPL29P23"
0,0,0,0,0,"AL021937.4"
0,1,1,1,4,"AC109466.1"
0,0,0,0,1,"RN7SL76P"
0,0,0,0,0,"AC011037.1"
11,15,11,11,9,"AC079447.1"
0,0,0,0,0,"RN7SL655P"
0,0,0,0,0,"RN7SL135P"
0,0,0,0,0,"RPS2P25"
2123,1976,2969,2709,2427,"PI4KA"
1,0,1,0,0,"ELOCP19"
0,0,0,0,0,"AF213884.1"
1,2,0,3,2,"RN7SL566P"
0,0,0,0,0,"RPL7AP2"
5,0,2,5,1,"WWTR1-IT1"
38,36,58,30,36,"PRR34-AS1"
0,0,0,0,0,"AC114982.2"
0,0,0,0,0,"RN7SL831P"
0,0,0,0,0,"RPL38P1"
0,0,0,0,0,"RN7SL323P"
0,0,0,0,0,"AF186996.2"
0,0,0,0,0,"AC129807.1"
0,0,0,0,0,"AC084211.1"
0,0,0,0,0,"RN7SL26P"
0,0,0,0,2,"ALG1L15P"
0,0,0,0,0,"KIR3DL3"
0,0,0,0,0,"RN7SL68P"
0,0,0,0,0,"AC112493.1"
70,46,70,65,56,"HYPK"
0,0,0,0,0,"AC078980.1"
0,0,0,0,0,"AC097493.1"
0,0,0,0,0,"AC128713.1"
0,0,0,0,0,"RPL35AP28"
0,1,0,0,0,"LINC01743"
0,0,0,0,0,"AC093583.1"
0,0,0,0,0,"DNAJB8-AS1"
0,0,0,0,0,"RPL10P7"
3,8,7,9,10,"RPS4XP19"
0,0,0,0,0,"RPS3AP49"
1,0,1,0,0,"AL160314.1"
0,0,0,0,0,"MARK2P6"
0,0,0,0,0,"RN7SL291P"
0,0,0,0,0,"RN7SL214P"
0,0,1,0,0,"RPL9P28"
1,6,0,1,0,"AC108734.3"
0,0,0,0,0,"NPM1P17"
57,88,88,93,83,"RPL7AP6"
0,0,0,0,0,"AC092590.1"
0,0,0,0,0,"AC211429.2"
0,0,0,0,0,"IGKV1-33"
0,0,0,0,0,"AC084864.1"
0,0,0,0,0,"RN7SL318P"
0,0,0,0,0,"AC008571.1"
26,16,18,34,15,"SLC5A4-AS1"
1,1,1,1,0,"RPL7AP31"
16,13,18,15,9,"RPS20P33"
116,139,170,147,182,"MUC20-OT1"
0,0,0,0,0,"RPL36AP41"
0,0,0,0,0,"AC090602.1"
1,0,0,6,0,"FOXP1-IT1"
0,0,0,0,0,"AC068647.1"
0,0,0,0,0,"RPL9P32"
0,0,0,0,0,"RN7SL416P"
0,0,0,0,0,"RN7SL152P"
0,0,0,0,0,"AC079841.1"
1,2,1,1,0,"LINC02618"
0,0,0,0,0,"LINC01100"
0,0,0,0,0,"NPM1P23"
9,5,11,7,3,"AMACR"
0,0,0,0,0,"TOPORSLP"
0,0,2,0,0,"RN7SL124P"
13,15,25,23,24,"MTFP1"
0,0,0,0,0,"RN7SL201P"
0,0,0,0,0,"AC117454.1"
0,0,0,0,0,"MDFIC2"
0,0,0,0,0,"RN7SL267P"
0,0,0,0,0,"AC053481.1"
1648,1365,2019,1730,1962,"SNHG3"
0,0,0,0,0,"RPL5P13"
0,0,0,0,0,"RPL17P2"
24,22,27,39,33,"AC093904.2"
0,0,0,0,0,"RPL11P5"
0,0,1,0,0,"AC083904.1"
0,1,0,1,1,"SERBP1P3"
0,0,0,0,0,"AC099542.2"
1,1,2,0,0,"LINC02657"
0,0,0,0,0,"DYNLL1P5"
0,0,0,0,0,"AC108729.1"
0,0,0,0,0,"OFD1P6Y"
0,1,0,1,1,"AC004884.2"
0,0,0,0,0,"AC000041.1"
0,0,0,0,0,"RN7SL361P"
0,0,1,0,2,"ABCF2P1"
0,0,0,0,0,"AC018639.1"
0,0,0,0,0,"AL121769.1"
0,0,0,0,0,"RN7SL222P"
0,0,0,0,0,"AC093789.1"
0,0,0,0,0,"RN7SL329P"
8,2,6,4,4,"ARHGDIG"
0,0,0,0,0,"RN7SL127P"
0,0,0,0,0,"RPL39P31"
0,0,0,0,0,"MTND4P17"
0,0,0,0,0,"RN7SL745P"
0,0,0,0,0,"AC231760.1"
0,0,0,0,0,"AC017015.2"
766,564,904,998,894,"CRYZL2P"
0,0,0,0,0,"SRRM1P2"
0,0,0,0,0,"AC098869.1"
0,0,0,0,0,"AC008897.1"
0,0,0,0,0,"AC022336.1"
0,0,0,0,0,"RN7SL215P"
0,0,0,0,0,"RPS26P35"
0,0,0,0,0,"HOXB-AS4"
0,0,0,0,0,"RPL5P29"
7,2,8,8,17,"AC006445.1"
0,0,0,0,0,"MTND3P6"
0,0,0,0,0,"RN7SL97P"
1,2,5,5,8,"TCP10L"
0,0,0,0,0,"PSG2"
0,0,0,0,0,"AC092989.1"
0,0,0,0,0,"RPS3AP14"
0,0,0,0,0,"RN7SL594P"
0,0,0,0,0,"RN7SL306P"
0,0,0,0,1,"NECTIN3-AS1"
1,0,0,0,0,"ATP5MC1P3"
0,0,0,0,0,"AL603908.1"
525,274,730,484,477,"ARFGAP3"
0,0,0,0,0,"RPL7AP57"
1,0,0,0,0,"RN7SL20P"
21,11,14,23,18,"BGLAP"
0,0,0,0,0,"RPL39P34"
0,0,0,0,0,"RN7SL57P"
0,0,0,0,0,"LINC00996"
336,291,461,357,354,"C22orf39"
0,0,0,0,0,"AC018635.1"
33,71,42,64,58,"AC092597.1"
9537,8358,10564,11080,9693,"PEG10"
0,0,0,0,0,"RN7SL456P"
2,2,1,1,1,"SKINT1L"
0,1,0,0,0,"LINC02082"
0,0,0,0,0,"AK2P2"
0,0,2,0,1,"RPL5P3"
0,0,0,0,0,"RPS3AP48"
0,0,0,0,0,"AP000893.1"
0,0,0,0,0,"SLC16A1P1"
0,0,0,0,0,"RN7SL159P"
0,0,1,0,0,"AC108488.1"
0,0,0,0,0,"RPL6P8"
0,0,0,0,0,"AC022400.3"
0,0,0,0,0,"ZBTB20-AS5"
0,0,0,0,1,"RPL36AP51"
0,0,0,0,0,"AC010631.1"
0,0,0,0,0,"RPS29P1"
617,486,830,733,782,"STAG3L5P"
0,0,0,2,0,"AC087477.1"
0,0,0,0,0,"DEFB109A"
6,12,9,7,17,"AC073861.1"
0,0,0,0,0,"RPS26P52"
0,9,7,6,5,"AC048334.1"
2,0,1,1,1,"RPL12P32"
0,0,0,0,0,"RN7SL685P"
1,0,0,3,0,"AC121764.1"
0,0,0,0,0,"AC058823.1"
0,0,0,0,0,"RPL21P126"
0,0,0,0,0,"RPL23AP40"
0,0,0,0,0,"AL049634.1"
0,0,0,0,0,"RPS12P31"
0,0,0,0,0,"MCUR1P2"
0,0,2,0,2,"AC023906.1"
0,0,0,0,0,"AC007215.1"
0,0,0,0,0,"RN7SL683P"
2,0,6,5,1,"INHCAP"
2,5,5,2,3,"BMS1P4"
0,0,0,0,0,"LINC02025"
0,0,0,0,0,"RN7SL646P"
0,0,0,0,0,"RN7SL561P"
3,1,0,0,0,"FAM91A3P"
0,0,1,0,0,"RPL12P30"
0,0,0,0,0,"RPS21P4"
0,0,0,0,0,"RN7SL272P"
0,0,0,0,0,"CT47A2"
2,3,2,0,2,"AC108725.1"
0,0,0,0,0,"NDUFA5P5"
0,0,0,0,0,"UGT1A8"
4,2,4,8,4,"KCNAB1-AS1"
0,0,0,0,0,"IGKV1-39"
1037,1103,1434,1261,1408,"EIF6"
0,4,0,2,0,"AL590705.3"
0,0,0,0,0,"RN7SL741P"
0,0,0,0,0,"LINC00901"
0,0,0,0,0,"H2AC3P"
0,0,0,0,0,"RBMY1E"
1,0,1,1,1,"RPL6P9"
0,0,0,0,0,"AC099677.3"
0,0,0,0,0,"AC010141.2"
6,8,3,5,2,"AC096536.2"
0,0,0,0,0,"RN7SL800P"
1,0,3,0,2,"RPS20P23"
0,0,0,0,0,"AC007537.1"
0,0,0,0,0,"AC091179.1"
2,1,3,3,2,"AC011506.1"
1,1,0,0,0,"DBIL5P2"
0,0,0,0,0,"RPL18P1"
15,14,21,14,12,"PCDHGC4"
0,0,0,0,0,"RPL12P36"
0,0,0,0,0,"C3orf67-AS1"
0,0,0,0,0,"RN7SL274P"
0,1,1,0,0,"AC107398.1"
1,0,0,2,0,"UPK3BP1"
0,0,0,0,0,"RN7SL789P"
0,0,0,0,0,"AC127024.1"
0,0,0,0,0,"LINC02046"
0,0,0,0,0,"GTF2A1L"
0,0,0,0,0,"AC007207.1"
0,0,0,2,1,"RPL7AP11"
0,0,0,0,0,"MTCO3P38"
70,97,102,106,100,"RBBP4P2"
0,0,0,0,0,"RPS15AP32"
0,0,0,0,0,"IGHJ5"
0,0,0,0,0,"KIR2DP1"
0,1,3,4,2,"AC093627.5"
1,0,0,0,1,"AC091429.1"
5,13,5,12,10,"AC109992.1"
0,0,0,0,0,"RN7SL392P"
0,0,0,0,0,"RN7SL293P"
1287,1445,1881,1793,1891,"MRPL20"
0,0,0,0,0,"AF107885.1"
0,0,1,0,0,"RN7SL37P"
529,380,620,699,563,"ARPIN"
0,0,0,0,0,"FO393401.1"
0,0,0,0,0,"RN7SL156P"
0,0,0,0,0,"NDUFB4P1"
0,0,0,1,0,"LINC01206"
0,0,0,0,0,"UGT1A10"
157,160,182,213,178,"LINC00960"
7,0,2,8,5,"MAGEA5"
0,0,0,0,0,"KLHL6-AS1"
0,0,0,0,0,"OR2U2P"
0,0,0,0,0,"OR7E100P"
0,0,0,0,0,"AC100771.1"
0,0,0,0,0,"AHCYP8"
0,0,0,0,0,"AC083798.1"
0,0,0,0,0,"IGKV2D-28"
0,0,0,0,0,"AC079943.2"
0,1,0,0,0,"MRE11P1"
5,4,5,8,2,"AC007620.2"
40,35,49,51,34,"AC010729.2"
0,0,0,0,0,"AC126121.2"
0,0,0,0,0,"RN7SL169P"
0,0,1,1,1,"SERPINB10"
5,3,5,6,5,"POU5F1P6"
0,0,0,0,0,"MRPL42P4"
4,2,6,6,3,"AP001432.1"
0,1,0,0,0,"RN7SL144P"
0,0,0,0,0,"RN7SL797P"
0,0,0,0,0,"ATP5MGP5"
1,0,3,2,1,"DCAF13P1"
0,0,0,0,0,"RN7SL372P"
0,0,0,0,0,"AC121764.2"
1,0,0,0,0,"RPL21P11"
0,2,1,2,5,"ACTR3P3"
2,2,1,3,5,"HLA-DMB"
0,0,0,0,0,"AC012501.3"
4,1,3,1,3,"AC073288.2"
0,0,0,0,0,"IGKV1D-43"
0,0,0,0,2,"AC008040.2"
0,0,0,0,0,"AC108740.1"
28,11,26,15,11,"AC108010.1"
0,0,0,0,0,"AL645608.5"
0,0,0,0,0,"AC006148.1"
0,0,0,0,0,"RPL26P26"
0,0,0,0,0,"MED28P8"
0,0,0,0,0,"CSAG4"
15,9,27,12,14,"MBL1P"
0,0,0,0,0,"AC008953.1"
3,3,4,2,3,"RPS3AP34"
0,0,0,0,1,"RPS23P5"
0,0,0,0,0,"CCDC137P"
0,0,0,0,0,"OR5BH1P"
0,0,0,0,0,"AC093627.6"
48,54,96,59,103,"DECR2"
0,0,0,0,0,"AC063952.3"
0,0,0,0,0,"RN7SL164P"
28,31,35,29,40,"AC022415.2"
7,6,5,3,4,"GNG10"
0,0,0,0,0,"AC112219.1"
36,47,90,64,64,"AC092910.3"
1,0,3,0,3,"AC009228.1"
0,0,0,0,0,"RPS24P16"
0,0,0,0,0,"RPS14P7"
0,0,0,0,0,"RPL21P129"
0,0,0,0,0,"RN7SL294P"
6,1,7,0,1,"RPS29P11"
0,0,1,0,0,"LINC00971"
0,0,0,0,0,"RN7SL292P"
0,0,0,0,0,"RN7SL862P"
0,0,0,0,0,"RN7SL132P"
0,0,0,0,0,"RPL32P14"
0,0,0,0,0,"RN7SL581P"
0,0,0,0,0,"AC108693.2"
0,0,0,0,0,"AC015911.1"
0,0,0,1,3,"RPS3AP43"
0,0,0,1,0,"AC087385.2"
0,0,0,0,0,"RN7SL317P"
0,0,0,0,0,"RPL22P13"
0,0,0,0,0,"LINC02010"
0,0,0,0,0,"RN7SL167P"
0,0,0,0,0,"RPS16P9"
2,2,2,2,2,"RPL12P21"
88,96,101,94,127,"PDE6B-AS1"
0,0,0,0,0,"RN7SL304P"
8,9,6,8,8,"CNTF"
1,0,0,1,2,"RPS27AP1"
1,0,0,3,1,"RN7SL40P"
1,1,1,2,0,"RPL5P12"
0,0,0,0,0,"RN7SL516P"
0,1,0,0,0,"CCT4P1"
0,0,0,0,0,"ICE2P2"
0,0,2,1,4,"RPS27AP9"
0,0,0,0,0,"RN7SL362P"
0,0,0,0,0,"RPL30P9"
62,54,105,107,103,"CCDC169"
0,0,0,0,0,"RN7SL806P"
0,0,0,0,0,"AC104687.1"
0,0,0,0,0,"UQCRHP4"
0,0,0,0,0,"AC021006.1"
0,0,1,0,0,"FAM86LP"
44,36,67,52,49,"RTL5"
0,0,0,0,0,"RPSAP26"
0,0,0,0,0,"TRBV1"
0,0,1,2,0,"AC012170.1"
9,4,8,6,4,"LINC02005"
1,0,0,0,0,"AC090515.2"
3,0,4,1,0,"RPL23AP81"
0,0,0,0,0,"NMTRQ-TTG12-1"
0,0,0,0,0,"AL445430.2"
0,0,0,0,0,"RHOT1P3"
0,0,0,0,0,"AL606462.1"
21,20,33,20,28,"LINC00882"
0,0,0,0,0,"RN7SL824P"
0,0,0,0,0,"IGKV1D-17"
1,1,2,0,1,"ZBTB20-AS4"
0,0,0,0,0,"AC096576.1"
0,0,0,0,0,"RN7SL432P"
