"HBCx14_Carboplatin1","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","Symbol"
23,42,40,31,32,"TRAF3IP3"
939,551,1139,987,948,"POMT2"
2556,2356,3460,3259,2981,"VTA1"
250,221,386,321,314,"MLXIPL"
5316,3905,6693,5811,4718,"BAZ1B"
1412,1726,1772,1979,1797,"RANBP9"
246,188,293,240,191,"ETV7"
392,384,588,549,465,"SPRTN"
2106,1488,2960,2337,2321,"EEF1AKNMT"
424,438,496,595,590,"DYRK4"
3874,3880,4970,4952,4855,"ZNF207"
2333,2330,3340,3027,3184,"UQCRC1"
508,442,729,598,605,"STARD3NL"
7660,5937,10312,8505,8962,"CD9"
1,3,2,0,3,"HHATL"
9775,8160,13457,12661,12408,"NCAPD2"
99,99,116,132,154,"IFFO1"
34,14,28,16,12,"GIPR"
59,55,70,95,70,"PHF7"
40,38,42,60,63,"SEMA3G"
2741,2341,3505,3324,3414,"NISCH"
39,51,44,45,62,"STAB1"
2,2,0,3,3,"FUZ"
1,0,0,0,2,"SLC6A13"
181,84,192,208,140,"IDS"
10,4,4,13,11,"PRSS3"
423,373,552,457,437,"ZNF200"
38,31,41,36,38,"CD4"
154,130,202,201,173,"LRRC23"
43,53,57,70,64,"BTK"
257,183,286,293,241,"HFE"
2045,1830,2761,2642,2636,"SCMH1"
385,403,479,564,527,"FYN"
1213,1016,1674,1534,1132,"HIVEP2"
0,5,0,2,3,"FMO1"
1977,1886,2788,2432,2369,"ELOA"
1866,1830,2626,2481,2481,"LYPLA2"
235,186,284,275,274,"CLCN6"
1492,1303,1704,1869,1864,"MRC2"
0,0,0,0,0,"NME1-NME2"
15,13,13,14,24,"SLC6A7"
2140,1784,2699,2721,2716,"TSPAN9"
48,40,63,75,68,"BTBD7"
939,759,1298,1047,1049,"APBA3"
276,227,329,339,315,"MKS1"
984,793,1327,1073,1112,"ABHD5"
2,3,2,0,0,"ANOS1"
4649,4029,6093,5651,6074,"AKAP8L"
366,326,423,430,411,"MBTD1"
337,317,414,413,442,"UTP18"
966,777,1267,1048,986,"RNF216"
1473,1373,1812,1879,1886,"TTC19"
8984,8374,12520,11727,11646,"PTBP1"
96,76,104,105,129,"DPF1"
3629,3458,5011,4678,4532,"SYT7"
657,612,921,902,833,"LARS2"
1165,1029,1451,1523,1315,"PIK3C2A"
511,305,620,489,408,"PLAUR"
2232,1834,3254,2882,2681,"ANLN"
5609,4974,8172,6934,6657,"WIZ"
1857,1789,2521,2454,2150,"RABGAP1"
4,11,2,5,11,"DCN"
191,156,255,257,291,"QPCTL"
1279,1207,1731,1591,1719,"PPP5C"
341,257,376,407,311,"CEP68"
1216,1124,1556,1537,1340,"MAP4K3"
8,2,15,12,11,"ZBTB32"
3,0,0,0,0,"TYROBP"
1046,1095,1421,1370,1364,"TMEM159"
305,244,335,330,352,"GABRA3"
638,441,761,760,631,"BRCA1"
820,713,950,971,1094,"ERCC1"
0,0,0,0,0,"CD22"
306,210,301,356,364,"SEMA3B"
275,239,327,294,263,"MBTPS2"
420,279,562,441,416,"PRICKLE3"
2600,626,3779,988,576,"LTF"
2051,1900,2993,2764,2474,"EXTL3"
0,0,0,0,0,"NR1H4"
2983,2254,3900,3271,3177,"ELOVL5"
44,36,47,48,29,"ALOX5"
4,6,4,6,3,"KDM5D"
1186,898,1615,1214,1324,"CALCOCO1"
143,143,219,205,181,"UBR7"
1172,1120,1632,1559,1358,"MAP4K5"
137,74,177,144,117,"EHD3"
1228,1360,1813,1695,1650,"PSMC4"
529,446,695,580,583,"MAN2B2"
0,0,0,0,0,"SLC7A14"
101,77,137,110,119,"CLDN11"
3861,3577,5321,4991,5409,"SLC25A39"
1065,536,1523,1032,781,"MVP"
1368,1120,1777,1561,1442,"NUB1"
841,607,1227,942,821,"PGM3"
37,34,63,50,70,"RWDD2A"
1301,1284,1520,1664,1525,"CLK1"
310,283,383,409,329,"POLR3B"
697,462,817,829,732,"ANGEL1"
702,581,999,899,787,"RNF14"
1023,882,1325,1186,1208,"DNASE1L1"
2882,2222,3683,3281,3434,"DDX11"
1002,915,1342,1355,1353,"HEBP1"
2290,1330,2954,1853,1940,"GPRC5A"
695,445,846,765,699,"MAMLD1"
220,180,250,260,250,"CD6"
1817,1719,2610,2492,2509,"TACC3"
430,408,522,615,546,"UFL1"
91,86,153,137,123,"POLA2"
425,416,550,509,493,"ZC3H3"
5578,5275,8083,7277,7066,"CAPN1"
15,13,27,27,14,"ACP3"
2192,2433,3117,2975,2989,"MDH1"
1267,1143,1537,1599,1470,"SLC30A9"
767,489,925,734,724,"MTMR11"
211,213,279,279,294,"COX15"
2510,1881,3249,3047,2448,"CCDC88C"
673,587,833,800,832,"YAF2"
