"HBCx14_Cisplatin1","HBCx14_Cisplatin2","HBCx14_Cisplatin3","HBCx14_Cisplatin4","HBCx14_Cisplatin5","Symbol"
8972,6140,8254,11916,10540,"NCAPD2"
73,119,105,122,137,"IFFO1"
25,24,23,24,31,"GIPR"
56,53,65,74,81,"PHF7"
24,18,21,31,44,"SEMA3G"
2843,2516,3081,3492,2664,"NISCH"
49,43,59,46,52,"STAB1"
1,3,1,2,1,"FUZ"
2,0,1,4,1,"SLC6A13"
198,114,191,225,189,"IDS"
7,13,9,11,7,"PRSS3"
391,360,434,517,425,"ZNF200"
38,33,33,39,29,"CD4"
137,105,184,228,169,"LRRC23"
58,33,48,52,44,"BTK"
284,196,339,359,215,"HFE"
1906,1772,2234,2528,1931,"SCMH1"
316,444,374,397,486,"FYN"
1270,894,1404,1459,1233,"HIVEP2"
1,0,0,1,0,"FMO1"
2064,1627,2127,2571,2081,"ELOA"
1665,1789,1990,2238,2022,"LYPLA2"
299,232,297,339,313,"CLCN6"
1264,1258,1403,1520,1742,"MRC2"
0,0,0,0,0,"NME1-NME2"
11,32,9,14,19,"SLC6A7"
2131,2008,2962,2794,1945,"TSPAN9"
72,49,42,65,60,"BTBD7"
981,867,1140,1148,1102,"APBA3"
264,190,310,356,244,"MKS1"
974,732,986,1261,911,"ABHD5"
0,0,3,0,1,"ANOS1"
4710,4439,5824,6245,4496,"AKAP8L"
375,268,351,398,383,"MBTD1"
276,254,329,435,339,"UTP18"
887,776,941,1139,941,"RNF216"
1446,1350,1699,1852,1533,"TTC19"
9159,8213,9846,11923,9906,"PTBP1"
86,82,73,90,87,"DPF1"
3498,3125,4022,5225,3540,"SYT7"
781,594,772,1025,754,"LARS2"
1235,830,1220,1476,1285,"PIK3C2A"
636,513,662,557,578,"PLAUR"
1825,1226,1764,2768,2528,"ANLN"
5627,4921,5803,6787,5973,"WIZ"
1917,1580,2054,2612,2020,"RABGAP1"
9,7,5,3,11,"DCN"
182,187,196,204,201,"QPCTL"
1314,1248,1506,1710,1362,"PPP5C"
308,201,306,349,289,"CEP68"
1236,879,1158,1596,1259,"MAP4K3"
16,11,12,7,19,"ZBTB32"
0,1,1,0,2,"TYROBP"
1172,1238,1432,1444,1128,"TMEM159"
296,238,314,428,298,"GABRA3"
529,389,430,636,546,"BRCA1"
729,699,833,994,691,"ERCC1"
0,1,1,1,0,"CD22"
253,275,370,376,256,"SEMA3B"
300,237,279,351,252,"MBTPS2"
404,347,434,486,420,"PRICKLE3"
5301,2751,4996,2703,1175,"LTF"
2234,1938,2407,2786,2346,"EXTL3"
0,0,0,1,0,"NR1H4"
2666,2166,2612,4132,2913,"ELOVL5"
55,51,94,66,44,"ALOX5"
6,6,6,4,2,"KDM5D"
1236,1062,1265,1605,1050,"CALCOCO1"
144,143,161,207,147,"UBR7"
1266,1006,1228,1660,1355,"MAP4K5"
150,121,128,169,115,"EHD3"
1290,1255,1407,1651,1402,"PSMC4"
561,529,591,716,556,"MAN2B2"
0,1,2,2,0,"SLC7A14"
69,51,84,109,84,"CLDN11"
3754,3592,4204,4957,4184,"SLC25A39"
1439,1157,1685,2026,1164,"MVP"
1519,1110,1456,1728,1193,"NUB1"
850,677,921,1108,857,"PGM3"
63,57,57,58,42,"RWDD2A"
1535,1339,1548,1697,1414,"CLK1"
381,290,312,439,341,"POLR3B"
728,552,709,908,707,"ANGEL1"
724,570,758,909,778,"RNF14"
1020,1122,1362,1398,934,"DNASE1L1"
2412,2141,2790,3224,2630,"DDX11"
974,954,1085,1386,1013,"HEBP1"
3017,2044,2475,3527,3117,"GPRC5A"
514,520,635,1052,774,"MAMLD1"
174,171,184,238,224,"CD6"
1613,1205,1597,2090,1827,"TACC3"
513,336,543,682,522,"UFL1"
113,99,121,111,101,"POLA2"
457,379,479,522,457,"ZC3H3"
6134,6103,7289,8661,6574,"CAPN1"
33,25,37,52,19,"ACP3"
2127,1732,2230,2590,2270,"MDH1"
1137,978,1250,1582,1208,"SLC30A9"
983,640,1081,1040,738,"MTMR11"
233,204,277,286,190,"COX15"
2484,1933,2570,3003,2509,"CCDC88C"
666,550,688,826,670,"YAF2"
283,300,291,253,356,"ZMYND11"
33,25,32,42,43,"WAS"
4,0,1,0,1,"DPEP1"
1414,1361,1579,1905,1534,"BID"
42,24,39,59,43,"MATR3"
11,5,14,23,16,"NPC1L1"
363,406,417,501,420,"XYLT2"
4,2,8,6,1,"RGPD5"
3,0,1,1,1,"STMN4"
1335,1127,1371,1740,1429,"NUDCD3"
0,0,2,3,1,"ISL1"
1821,1484,1864,2118,1903,"CHDH"
139,172,168,158,138,"IL20RA"
0,0,0,0,0,"CLCA1"
0,0,0,0,0,"CLCA4"
476,380,556,544,409,"GLT8D1"
5480,3835,5458,6927,5617,"ATP2C1"
21,63,35,36,76,"IGF1"
91,98,87,83,75,"SLC38A5"
1821,1499,1876,2619,1991,"RALBP1"
930,695,968,1174,848,"RUFY3"
2,5,2,3,1,"CNTN1"
6,4,4,7,4,"SLC11A1"
6633,4048,5645,7993,5853,"WWTR1"
1159,851,1054,1580,1336,"AGPS"
2,2,2,2,1,"ZNF806"
482,394,498,630,507,"CXorf56"
235,172,66,32,93,"ATP1A2"
508,388,613,591,531,"TTC27"
26,19,19,17,30,"ZNF582"
2,0,1,3,3,"VSIG2"
1391,1125,1268,1868,1242,"PHLDB1"
650,442,685,661,574,"MARCO"
89,30,58,86,68,"CYP24A1"
444,360,543,565,483,"PRDM11"
13,7,3,3,6,"SYT13"
4,0,1,3,3,"SNAI2"
77,31,89,29,31,"CD74"
14,16,8,9,31,"HGF"
1225,991,1310,1716,1256,"ZRANB1"
3135,2309,2931,3407,2571,"NCDN"
173,103,128,217,145,"ADGRA2"
0,1,0,0,4,"CCT8L1P"
923,843,897,1198,1036,"ZFP64"
237,227,240,319,236,"MNAT1"
568,462,602,728,645,"SAMD4A"
1653,1156,1551,1916,1589,"RUNX3"
873,649,936,1150,905,"MRE11"
788,695,1017,1251,810,"PLEKHB1"
831,530,815,1019,728,"SERPINB1"
3,1,0,0,0,"CYP3A43"
10,11,14,21,14,"SLC7A9"
840,579,772,1089,859,"SPAST"
1,0,1,0,1,"NRXN3"
1047,1031,1311,1524,1103,"OSBPL5"
482,323,457,610,432,"AQR"
4,2,2,3,3,"CPS1"
1,0,0,0,0,"C8B"
141,199,269,88,110,"FHL1"
1564,1358,1680,1950,1580,"RTF2"
0,0,0,0,0,"GABRA1"
944,756,937,1180,910,"NLRP2"
