"HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_chemonaive3","Symbol"
2682,4595,4825,"TNC"
340,387,591,"THAP3"
39,34,43,"RIPOR3"
1009,1059,1376,"TDP1"
1045,1112,1408,"AIFM2"
0,0,0,"C2orf83"
192,216,267,"SPATA7"
315,288,408,"MED17"
2039,2281,2930,"RETSAT"
6860,6630,7117,"CAPG"
1769,1780,2441,"AP2S1"
0,0,0,"USH2A"
2,4,4,"ZPBP"
1,3,1,"TG"
29,38,21,"ADAM28"
3762,3590,3801,"BARX2"
2717,2853,3391,"DCUN1D1"
818,721,825,"JADE2"
0,1,2,"ZIC2"
2,3,3,"LCP2"
1238,1173,1618,"TRIT1"
6,12,31,"ADRB1"
0,0,0,"GUCA2B"
1905,1822,2235,"CUL7"
15943,15793,18586,"CTNNA1"
1398,1383,1855,"PHKA2"
626,523,729,"CNTLN"
1,1,0,"EPHA3"
17864,24177,19452,"HSPA5"
9516,9686,10000,"DSG2"
221,210,265,"GEMIN8"
1274,1280,1722,"OFD1"
959,1049,1463,"GPM6B"
0,0,0,"MAGEC2"
0,2,0,"PREX2"
368,428,492,"WDR37"
1515,1741,1785,"YTHDC2"
1209,1227,1584,"CTPS2"
704,720,1036,"ATP6V1H"
2685,3009,4046,"POLR2B"
783,769,862,"FAM214A"
284,309,331,"ARAP2"
7398,7900,10075,"TPR"
386,255,217,"CP"
909,987,1361,"KIAA0556"
414,398,522,"DTNBP1"
588,602,738,"XK"
38,37,34,"ANO2"
1732,1821,2320,"C12orf4"
20,122,135,"SCML1"
2704,2738,3684,"WWC3"
12,23,18,"ARHGAP6"
47,53,85,"FAM184B"
16962,16092,20343,"MAP4"
1200,1390,1609,"GOPC"
0,0,0,"ROS1"
1369,1818,1998,"USP28"
612,761,681,"HDAC9"
3506,3602,4276,"TSPAN17"
1388,1579,2341,"NOP16"
435,423,585,"CC2D2A"
666,859,978,"RRM2B"
797,992,1069,"ZNF800"
0,0,0,"TNFRSF17"
676,610,782,"SNX29"
6,2,5,"LMO3"
1314,1243,1582,"MRPS10"
0,0,0,"GUCA1A"
1558,1807,2005,"RSF1"
1491,1504,1722,"VPS13D"
2848,3222,2905,"CELF2"
16168,17355,21137,"FAM120A"
2720,2791,3881,"R3HDM1"
5627,4947,5519,"COL9A2"
251,276,289,"KITLG"
135,147,199,"ERCC8"
37,41,43,"ADAMTS6"
3078,2586,2519,"H6PD"
3265,3405,4011,"VAMP3"
390,469,535,"PER3"
0,0,0,"UTS2"
2,3,5,"TNFRSF9"
613,552,842,"EPN3"
6744,6929,6868,"LTBP1"
2653,3199,3546,"RCN1"
144,148,135,"ELN"
2057,1880,2554,"RFC2"
10000,10278,12176,"ARID1B"
3389,4309,5097,"CLPTM1L"
3044,3122,3493,"NEDD4L"
14,12,18,"FOXP3"
340,311,478,"PPP1R3F"
1902,1747,2268,"HEXB"
378,450,484,"PTCD2"
285,278,274,"NEXMIF"
1047,1097,1329,"JKAMP"
19,36,39,"DKK3"
1164,1125,1298,"ARHGEF5"
1668,1934,2213,"NFE2L3"
1652,1820,2247,"MCUR1"
994,981,1149,"LIMA1"
1603,1412,1903,"LETMD1"
13,24,14,"SLC4A8"
235,247,309,"LAMC3"
1,3,1,"PTGER3"
6,2,3,"TNIP3"
2484,2503,2934,"MAPK9"
5,4,1,"COL23A1"
640,634,806,"BCAR1"
1505,1392,1806,"FAM160A2"
2578,2565,2978,"HERPUD1"
1659,1831,2189,"HOMER3"
367,457,581,"RAD51"
417,372,484,"POLQ"
1908,2034,2276,"PIK3CB"
3653,3697,4543,"CYBA"
514,466,708,"THOC3"
13759,13887,16005,"HEBP2"
510,561,670,"MPHOSPH9"
2271,2239,2409,"PLEKHA5"
3393,3123,3748,"PRSS8"
2193,2745,3094,"SIKE1"
812,1029,1242,"RRP12"
540,612,656,"FNIP2"
1118,1378,1560,"MSMO1"
2999,3365,3577,"TTC17"
8,5,6,"ALX4"
1,0,0,"FSTL4"
1311,1596,1964,"FOXN3"
0,1,0,"METTL24"
1225,1188,1515,"AKR7A2"
1762,1834,2517,"MRTO4"
1,2,2,"NNAT"
962,853,1080,"USE1"
16,25,39,"MCF2L2"
3,1,2,"NRIP2"
295,354,233,"LAMA3"
1156,1311,1539,"AP5M1"
636,660,756,"ANAPC4"
70,41,27,"KCNQ1"
2626,2648,3710,"TRAPPC3"
6711,7391,9359,"THRAP3"
3260,2884,3666,"PHPT1"
1883,1692,2188,"ENTPD2"
607,544,583,"LY75"
1347,1712,1892,"ARID4B"
205,355,368,"OPN3"
818,762,1064,"SDCCAG8"
2,7,2,"PTPRN"
128,135,159,"HHAT"
3501,4111,4233,"KIF1B"
4957,3507,4788,"FOXC1"
1019,832,1149,"TBC1D22A"
5635,6022,7044,"SYNE2"
1217,1259,1618,"PLEKHH1"
7123,7107,7336,"ATP9A"
0,0,0,"SPO11"
0,0,0,"CBLN4"
1,0,0,"CHRDL2"
3951,3661,4372,"FAM168A"
558,540,735,"RELT"
749,608,731,"GALC"
3289,3625,4584,"NOP58"
5100,5271,6637,"SZRD1"
34,58,78,"KCNH2"
4242,3885,5419,"CUL1"
369,409,464,"FAM114A2"
1597,1536,1735,"CYFIP2"
4950,5201,5823,"TAB2"
1605,1663,2026,"GINM1"
5066,4924,5449,"EIF2AK2"
2002,2237,2923,"USP36"
2704,2344,2963,"KMT2C"
658,889,1034,"MCOLN3"
0,0,2,"CCDC85A"
6668,7283,8666,"PUM2"
476,421,476,"MRPL43"
6,7,14,"ITIH4"
0,0,0,"ITIH1"
268,278,349,"HPF1"
4028,4892,5220,"ZFR"
285,300,383,"ZNF280C"
0,0,0,"NPFFR2"
0,0,2,"PHF21B"
923,964,1015,"TRAF1"
2541,3087,3983,"RC3H2"
881,893,1135,"IL17RB"
1680,1701,2110,"TRAF3IP2"
267,228,297,"GYG2"
1638,1904,2255,"DCBLD2"
0,0,0,"SERPINB3"
3788,4276,4948,"SOAT1"
2044,2367,2634,"PKP2"
81,66,78,"MSH4"
8,7,6,"F7"
15760,16881,19842,"GDI2"
26,33,44,"PRDM1"
1838,1806,2357,"ATG5"
182,146,137,"TMCC3"
1153,1251,1624,"PITHD1"
1888,1883,2240,"MTA3"
2732,2851,3602,"USP13"
2638,3401,3618,"ATP11B"
5157,5625,5505,"LAMC2"
636,774,979,"CDK14"
8869,9670,11086,"SEC61A1"
1487,1764,2060,"PPP1R12A"
557,623,704,"RASGRF1"
69,54,57,"CAMK2B"
916,832,1149,"CROCC"
