"Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Sample","model","suffix","state","treatment","Cluster"
13.3945852992719,10.1204233065163,-1.54387466702556,-1.56323295499807,2.45679286394749,-1.99622115629921,3.82777339936402,0.267808853327787,-0.636516854621549,1.55894301885773,1.43225332075667,0.10692814567238,-0.569854424682233,1.44641090180698,0.59321138139702,-1.40349640644791,1.68037642262834,-0.0999271567400532,2.14281960410425,1.56408637617834,-0.61415940406936,-1.59623438471176,1.19933149105952,2.49699959124018e-14,"HBCx10_AnthraRelapse3","HBCx10","Relapse","Relapse","AC","2"
21.6263151640565,-1.72900258693831,3.80331881965213,-1.33133154843634,4.21115062517659,-3.80927032285275,-3.0083752882489,0.682653317862522,0.363882064229179,-3.03750570439693,-2.17003212131225,-2.01440685252794,2.35424602478451,-0.19207244951333,2.35882197753289,2.33473427984194,2.10053850677857,-0.0330190869423381,-0.784834961387197,0.875240592598495,-0.849935076858836,-0.433870024436141,-0.632840282899982,2.75625273757885e-14,"HBCx10_AnthraRelapse4","HBCx10","Relapse","Relapse","AC","2"
17.8139476164596,0.866566160002688,1.43355634183613,1.42163364172571,-0.587368466372358,-3.79541684982672,-5.29251836261365,0.440672679686206,1.59623057162742,-0.741138665035884,-2.07126777650646,1.26428235182034,0.275078652498354,0.907256737139189,-3.35168310697437,-1.28086406902965,0.143220767196608,-2.96155406488719,0.732811154416816,-1.00714273266731,0.433042640784172,-0.547855441276508,0.107390878251939,2.32791608964194e-14,"HBCx10_AnthraRelapse5","HBCx10","Relapse","Relapse","AC","2"
12.6961655224749,12.4190000274464,-0.822221568231321,-3.55764774565248,2.24775481358501,-2.50868575783479,0.64621836696287,0.330059084249044,-3.38228950260052,1.56332987048202,0.26776655207134,1.02750261847767,0.395139759222435,-1.27901273450875,1.94490100644827,-1.70910454073965,-1.80633631596517,-1.48965499350726,-2.06835790601347,-0.547344818881166,-0.233050638203452,1.00612460039154,-0.604252895571355,2.08518145910328e-14,"HBCx10_AnthraRelapse6","HBCx10","Relapse","Relapse","AC","2"
10.6387694225856,2.76255630310822,-7.109293917511,0.061506490676474,-1.71869862730597,-0.907645511961977,-1.73908961572597,0.248333620945561,2.91724416347885,0.670009101399906,0.877794439135973,2.6022470986107,-1.2484581490257,4.87935678380401,0.227444440248946,0.622916092059871,0.556914998496772,1.89389695454328,-1.47880704237405,-0.473931912738324,-0.404644643654527,0.303993555456328,-0.70353849724693,2.01997530764434e-14,"HBCx10_AnthraRelapse7","HBCx10","Relapse","Relapse","AC","2"
15.7874439799433,0.526917340782784,-2.29101921435149,4.27724976027159,0.396144535362979,-2.0616169697048,-4.38645409083217,0.0351513453002196,-1.16831580493697,1.82523442836837,-1.80243835635229,0.721215731753176,0.814718359996443,-1.26451381268824,-0.342752777275847,0.56979828253472,-3.13208433996047,2.37828126890096,0.859486886236953,1.97168630193244,0.690831296408317,0.064759852273325,0.651877627956067,1.46153059201288e-14,"HBCx10_AnthraRelapse8","HBCx10","Relapse","Relapse","AC","2"
8.75875498108753,0.860723503593965,-4.47670317885949,2.03107095703892,-5.09531291712429,3.89706248543714,3.39696496029068,-1.08664148976704,-0.0617430825295379,-2.26690106274959,-2.17522308286983,2.14538439324199,4.68239953152533,-1.00205259306472,-0.267280050890664,-0.827438678426274,1.25273601725698,0.20874069674017,-1.28058492424439,0.123905830240809,1.02598771852144,-0.550907653003965,0.742295806405875,2.49667524215582e-14,"HBCx10_chemonaive1","HBCx10","chemonaive","chemonaive","chemonaive","2"
15.8586130430926,-0.318767502888126,-2.80397079625707,1.97692311432653,-2.05167988866302,2.76590794319715,2.45748616283802,1.82358522469843,0.395730700589715,-1.38195563480981,1.3465236041813,1.17710695160891,-1.55052943711293,0.0395762622583832,-0.156439044984949,3.4362780228665,-0.721367328702162,-2.83524823493157,0.305036703513565,1.53175379810921,-0.303718746034605,1.35845626150913,0.510549725671983,1.64799217039074e-14,"HBCx10_chemonaive2","HBCx10","chemonaive","chemonaive","chemonaive","2"
13.5307325192777,2.22651507938682,1.6950575692077,-2.52087390304948,-0.632881121961447,0.66369084835594,2.82671758869848,0.226052059582113,-0.520019272395063,-0.979082603162144,0.709820390221931,0.514478390347735,0.770372105121275,-0.620678267378451,-1.51361988958271,0.0719663518343641,0.152144598171185,0.858818729350504,2.03689430570689,0.265755872195513,0.89235515606686,0.42485827462069,-3.25159287630043,2.09031489469162e-14,"HBCx10_chemonaive3","HBCx10","chemonaive","chemonaive","chemonaive","2"
12.1848650777786,-0.507993404797293,1.00618052522406,0.431483360496411,-1.76281354221963,0.321057873096419,1.03165573892572,-2.06877322194806,-0.983665320861146,1.10709554599492,0.169671912676842,1.08542244110537,0.930943029526799,-1.79580018464011,-1.34054832521914,1.29588933291702,-0.439633713353096,0.985237311565354,0.76055330768858,-2.00745241684782,-3.3770220290976,-0.15079157202595,0.341203903019681,2.12133996870785e-14,"HBCx10_chemonaive4","HBCx10","chemonaive","chemonaive","chemonaive","2"
