"logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","status"
-0.879755445135342,8.28149502674665,-9.72216275009098,3.19350516303464e-15,1.65060168581814e-12,24.2686915873895,"FBL","Down"
-2.41531769938329,1.82438302740463,-9.59832124029148,5.58800110678054e-15,2.79195161965112e-12,23.3772297596419,"CA9","Down"
-0.625815885342159,6.24927189453327,-9.46980273537556,9.99339390389175e-15,4.8319671363043e-12,23.1515247933898,"APPL1","Down"
-1.07722374211716,5.02324136537373,-9.42844854675377,1.20504731259582e-14,5.64451692765585e-12,22.8771137782422,"CAMK1D","Down"
-0.585722096134861,10.4681125754913,-9.3829967171176,1.48040011474998e-14,6.72415676363257e-12,22.7190784526162,"RPL14","Down"
-0.578563722580917,4.45685748736331,-9.35243245231051,1.70018398294346e-14,7.49531109421749e-12,22.6197421781039,"SLC25A1","Down"
2.2090531506976,5.26040072568035,9.30688845514549,2.0897731938328e-14,8.9496029721028e-12,22.4206320379509,"KRT14","Up"
-0.606993171988467,7.50491652133022,-9.29440177534373,2.21141368508684e-14,9.20746659049075e-12,22.3537548378929,"PRKDC","Down"
-0.891515242175179,8.98201506395302,-9.26164962368946,2.56523613324874e-14,1.03919795679096e-11,22.2142487896356,"FDFT1","Down"
-0.514139890588615,7.76116447589384,-9.23754612923328,2.86135479508159e-14,1.12342641623055e-11,22.1138759861536,"IARS2","Down"
-0.753939576246474,2.52118374644117,-9.23283961379262,2.92305225385224e-14,1.12342641623055e-11,22.0826289768343,"SLC25A6","Down"
0.460044995873365,0.0612387441728163,9.21001703848887,3.24165372038789e-14,1.21472869037235e-11,21.8846171993303,"IQSEC2","Not Sig"
-0.792426329730289,2.90971741314944,-9.14669590512695,4.3196864996606e-14,1.56510588743391e-11,21.7048899779445,"MMAB","Down"
-0.41400322186748,6.42662687387778,-9.14336083726737,4.38551252733498e-14,1.56510588743391e-11,21.7017337776609,"FH","Not Sig"
0.784539927333237,-0.802601904279726,9.10014272405108,5.3351097745725e-14,1.8597200095597e-11,21.3887480610436,"ULBP1","Up"
-0.557118282562162,5.5930964180559,-9.07913472704324,5.86849172993292e-14,1.99915505772647e-11,21.421069817912,"PRKX","Down"
-0.91245607552341,3.56188804910476,-9.03875869922476,7.0480889992078e-14,2.34764013353613e-11,21.2077598629201,"LRP8","Down"
-0.733839972394556,7.54698928867858,-8.9875799963883,8.89024954846744e-14,2.88190761910154e-11,20.9411457644146,"RPL10","Down"
-0.521101298424893,5.17207512247139,-8.98398137505992,9.03660404948778e-14,2.88190761910154e-11,20.9988381454448,"TBL1X","Down"
-0.504204351313505,6.37277667067484,-8.97388476604413,9.46022800214429e-14,2.95415328175293e-11,20.950506474946,"TULP3","Down"
-0.487917669147275,6.80431801047212,-8.96112932991317,1.0023933562445e-13,3.06630081974465e-11,20.898788821557,"IPO5","Not Sig"
0.97798909321412,-0.473837411382199,8.8945068445635,1.35625060886143e-13,4.06576807524478e-11,20.4845075328137,"PALMD","Up"
-0.836905404875083,6.05858263151489,-8.88231821932157,1.43338707623144e-13,4.21275272267315e-11,20.5494585531384,"LPIN1","Down"
-0.564791963877276,10.2973548847846,-8.87508326242772,1.4812339473222e-13,4.26965685315623e-11,20.4303103468438,"RPL3","Down"
-1.11018824935579,3.18429280637635,-8.86351481658753,1.56108117615763e-13,4.41491429234466e-11,20.4098798297177,"FUT11","Down"
1.51592407589951,0.561274580191369,8.84332978660519,1.71084918943709e-13,4.74887379638379e-11,20.3635909374715,"SPIB","Up"
